Time,CH1,CH2
0,0.114383,1
0,0.0950346,1
0,0.117618,1
0,0.129307,1
0,0.127689,1
0,0.123142,1
0,0.116611,1
0,0.0957366,1
0,0.0986969,1
0,0.0842006,1
0,0.0844447,1
0,0.115207,1
0,0.116581,1
0,0.0951872,1
0,0.10535,1
0,0.0952177,1
0,0.117649,1
0,0.128819,1
0,0.117344,1
0,0.0891751,1
0,0.099002,1
0,0.115055,1
0,0.101566,1
0,0.094821,1
0,0.100253,1
0,0.11478,1
0,0.0990936,1
0,0.0833766,1
0,0.0891446,1
0,0.0790124,1
0,0.0863674,1
0,0.1077,1
0,0.0979339,1
0,0.116276,1
0,0.115207,1
0,0.105258,1
0,0.0863674,1
0,0.0889309,1
0,0.117222,1
0,0.139958,1
0,0.13599,1
0,0.105991,1
0,0.098178,1
0,0.103244,1
0,0.121158,1
0,0.161473,1
0,0.180151,1
0,0.183233,1
0,0.171514,1
0,0.16361,1
0,0.186041,1
0,0.180395,1
0,0.191687,1
0,0.205573,1
0,0.209815,1
0,0.195685,1
0,0.211676,1
0,0.231483,1
0,0.257851,1
0,0.908292,1
0,1,0.69689
0,1,0.0166936
0,1,0.00143437
0,1,0.0221259
0,1,0.00589007
0,1,0.0100101
0,1,0.0307321
0,1,0.0397351
0,1,0.0609455
0,1,0.0799585
0,1,0.0868557
0,1,0.105228
0,1,0.111332
0,1,0.122074
0,1,0.131565
0,1,0.147038
0,1,0.175512
0,1,0.187689
0,1,0.200598
0,1,0.851405
0,0.701804,1
0,0.0530412,1
0,-0.000824,1
0,0.0085757,1
0,0.0455947,1
0,0.0617084,1
0,0.0665304,1
0,0.0568255,1
0,0.0864589,1
0,0.113163,1
0,0.11124,1
0,0.113376,1
0,0.143925,1
0,0.142125,1
0,0.147801,1
0,0.167058,1
0,0.158635,1
0,0.163366,1
0,0.209082,1
0,0.867977,1
0,1,0.706015
0,1,0.0234382
0,1,-0.0138859
0,1,-0.00570696
0,1,0.0127873
0,1,0.0443739
0,1,0.0421461
0,1,0.0617695
0,1,0.0793786
0,1,0.113804
0,1,0.136845
0,1,0.151036
0,1,0.153142
0,1,0.14423
0,1,0.177282
0,1,0.187353
0,1,0.169347
0,1,0.182012
0,1,0.214393
0,1,0.857326
0,0.704093,1
0,0.0401318,1
0,0.0336314,1
0,0.0504166,1
0,0.0593585,1
0,0.0667135,1
0,0.0623493,1
0,0.0575274,1
0,0.0891751,1
0,0.0936308,1
0,0.0949736,1
0,0.124577,1
0,0.151219,1
0,0.144627,1
0,0.145604,1
0,0.16895,1
0,0.164586,1
0,0.182745,1
0,0.242683,1
0,0.90173,1
0,1,0.683798
0,1,0.0184637
0,1,-0.00628681
0,1,0.0106204
0,1,0.00656148
0,1,0.0103458
0,1,0.027192
0,1,0.0540788
0,1,0.0722983
0,1,0.0952483
0,1,0.113224
0,1,0.117832
0,1,0.149327
0,1,0.163762
0,1,0.172979
0,1,0.166051
0,1,0.195776
0,1,0.203772
0,1,0.22187
0,1,0.889615
0,0.671224,1
0,0.0131535,1
0,-0.0106204,1
0,0.00268563,1
0,0.00888089,1
0,0.032136,1
0,0.0511795,1
0,0.0563677,1
0,0.0952788,1
0,0.109806,1
0,0.102634,1
0,0.12946,1
0,0.126408,1
0,0.122929,1
0,0.143345,1
0,0.187597,1
0,0.208472,1
0,0.215827,1
0,0.250526,1
0,0.898312,1
0,1,0.678762
0,1,0.0130924
0,1,0
0,1,0.026307
0,1,0.0135807
0,1,0.026429
0,1,0.0697958
0,1,0.0937223
0,1,0.102268
0,1,0.095706
0,1,0.0943938
0,1,0.118046
0,1,0.13419
0,1,0.144078
0,1,0.150365
0,1,0.187902
0,1,0.208167
0,1,0.209265
0,1,0.229041
0,1,0.884823
0,0.725211,1
0,0.0621967,1
0,0.00991852,1
0,0.00814844,1
0,0.0344554,1
0,0.0350047,1
0,0.0686361,1
0,0.0811487,1
0,0.0646992,1
0,0.0841701,1
